feature,n_subject_pairs,rest_mean,workload_mean,mean_difference_workload_minus_rest,paired_t_statistic,paired_t_p,wilcoxon_statistic,wilcoxon_p,cohens_dz,abs_cohens_dz,paired_t_q_fdr,wilcoxon_q_fdr
hjorth_C3_activity,36,115.30843926823201,94.23225228119581,-21.076186987036223,-4.157999952081187,0.0001971830936837693,116.0,0.0003858958662021905,-0.6929999920135084,0.6929999920135084,0.0019357608587248082,0.0019175689647701443
global_band_rel_mean_gamma,36,0.016560715414964594,0.022771987325092037,0.006211271910127443,4.132330992324236,0.00021253398964653897,83.0,2.7887086616829038e-05,0.688721831977672,0.688721831977672,0.002061323634523661,0.0003453708419468827
ratio_C4_beta_alpha,36,0.6133226705843007,0.7688873989537269,0.15556472836942634,4.1224148419114455,0.0002187723316353352,103.0,0.00014762088540010154,0.6870691403155397,0.6870691403155397,0.0020762532235664172,0.000914113944208321
stat_C4_skew,36,0.025095924163384836,-0.03634840448697777,-0.06144432865036258,-4.1216547767062535,0.0002192578228009501,113.0,0.00031152513111010194,-0.6869424627766956,0.6869424627766956,0.0020762532235664172,0.0016830720170713561
band_rel_Cz_alpha,36,0.26502929413380266,0.20906733237589,-0.055961961757912654,-4.11471644524091,0.00022373869830475077,99.0,0.00010785146150738001,-0.6857860741984143,0.6857860741984143,0.0020762532235664172,0.0007295834160793354
stat_T3_std,36,9.139466195393624,8.212811400512713,-0.9266547948809097,-4.113719131513313,0.0002243900999382339,97.0,9.186950046569109e-05,-0.6856198552517114,0.6856198552517114,0.0020762532235664172,0.0006784857603200122
stat_T6_skew,36,0.0834311976366405,0.019569161167831157,-0.06386203646880934,-4.090997138876336,0.00023974406734354793,116.0,0.0003858958662021905,-0.6818328564721096,0.6818328564721096,0.0021455878067998028,0.0019175689647701443
stat_C4_var,36,122.15118810488772,98.17981765318332,-23.97137045170442,-4.089543927144307,0.000240760270308251,89.0,4.721074947156012e-05,-0.6815906545240317,0.6815906545240317,0.0021455878067998028,0.00043683509568512524
hjorth_C4_activity,36,122.15118810488772,98.17981765318332,-23.97137045170442,-4.089543927144307,0.000240760270308251,89.0,4.721074947156012e-05,-0.6815906545240317,0.6815906545240317,0.0021455878067998028,0.00043683509568512524
stat_T3_rms,36,9.154346979873992,8.228073415223422,-0.9262735646505698,-4.087006562030588,0.0002425447085947603,97.0,9.186950046569109e-05,-0.6811677603379304,0.6811677603379304,0.0021455878067998028,0.0006784857603200122
band_abs_Pz_alpha,36,67.59132616090191,38.46040597844976,-29.130920182452137,-4.075933407864416,0.0002504846121945751,60.0,2.864719135686755e-06,-0.6793222346440534,0.6793222346440534,0.0021917403567025323,0.0001153049452113919
band_rel_Fp2_alpha,36,0.19678765912597654,0.13264284847172178,-0.06414481065425476,-4.067307799682221,0.0002568450671684094,92.0,6.088233203627169e-05,-0.6778846332732061,0.6778846332732061,0.0022232288072104255,0.0005269922289161152
region_parietal_band_rel_mean_alpha,36,0.3592664555247539,0.2719391221850332,-0.08732733333972076,-4.039852364419355,0.00027815934844347247,87.0,3.971919068135321e-05,-0.6733087273980344,0.6733087273980344,0.0023821093137978227,0.0004207098486643334
band_rel_F8_alpha,36,0.1929311038566965,0.13179309611963608,-0.061138007737060435,-4.02946062875576,0.00028666951334876554,72.0,9.92763671092689e-06,-0.6715767714519163,0.6715767714519163,0.0024084504878082607,0.0002049505243586853
hemisphere_midline_band_rel_mean_delta,36,0.3755556472744459,0.42494150505526923,0.049385857780823356,4.028800119637994,0.00028721894016098514,120.0,0.0005099171248730272,0.6714666865972028,0.6714666865972028,0.0024084504878082607,0.002386530729783645
stat_O1_var,36,171.88052492996954,133.0167799683376,-38.86374496163194,-4.0083763924036,0.00030472466384489483,89.0,4.721074947156012e-05,-0.6680627320672553,0.6680627320672553,0.002503095453011636,0.00043683509568512524
hjorth_O1_activity,36,171.88052492996954,133.0167799683376,-38.86374496163194,-4.0083763924036,0.00030472466384489483,89.0,4.721074947156012e-05,-0.6680627320672553,0.6680627320672553,0.002503095453011636,0.00043683509568512524
region_parietal_band_rel_mean_delta,36,0.341944736159557,0.40437815548242545,0.06243341932286855,3.975658986901435,0.0003349598419128625,118.0,0.0004440157790668309,0.6626098311432068,0.6626098311432068,0.0027236633610086295,0.0021532090490891495
corr_T5_Cz,36,0.45351747234056017,0.5058863891486042,0.0523689168080442,3.9632941323299735,0.0003471325096387584,104.0,0.00015944891492836177,0.6605490220466637,0.6605490220466637,0.0027932275052183183,0.000965085537724295
