n,TP,FP,FN,TN,accuracy,sensitivity,specificity,f1,roc_auc,pr_auc,brier,ece,subject_id,feature_set,model
120,5,8,25,82,0.725,0.16666666666666666,0.9111111111111111,0.23255813953488372,0.8622222222222222,0.5217383201825702,0.21749507064813958,0.23714753654960904,Subject15,hjorth_only,logistic_regression
120,23,42,7,48,0.5916666666666667,0.7666666666666667,0.5333333333333333,0.4842105263157895,0.7674074074074075,0.6615672085910871,0.2804125411941737,0.34113242750551315,Subject16,hjorth_only,logistic_regression
120,30,77,0,13,0.35833333333333334,1.0,0.14444444444444443,0.43795620437956206,0.9155555555555555,0.8653983304607602,0.4485218735864145,0.5483910542746053,Subject17,hjorth_only,logistic_regression
120,29,3,1,87,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.9354838709677419,0.9733333333333334,0.9696516998140512,0.056240424218058,0.14011035538454225,Subject18,hjorth_only,logistic_regression
120,30,11,0,79,0.9083333333333333,1.0,0.8777777777777778,0.8450704225352113,0.9977777777777778,0.9935186843807533,0.08061980774963479,0.1853153242137818,Subject19,hjorth_only,logistic_regression
120,1,2,29,88,0.7416666666666667,0.03333333333333333,0.9777777777777777,0.06060606060606061,0.5374074074074074,0.3556671485464934,0.24039672598334297,0.2398255392500523,Subject20,hjorth_only,logistic_regression
120,25,9,5,81,0.8833333333333333,0.8333333333333334,0.9,0.78125,0.9355555555555556,0.6966970377946432,0.10653452299315223,0.13934994696571024,Subject21,hjorth_only,logistic_regression
120,23,0,7,90,0.9416666666666667,0.7666666666666667,1.0,0.8679245283018868,0.9959259259259259,0.9877814673550677,0.042768642966817365,0.08952481905328169,Subject22,hjorth_only,logistic_regression
120,27,39,3,51,0.65,0.9,0.5666666666666667,0.5625,0.8414814814814815,0.7293493633506318,0.20952819958424404,0.2743841338741629,Subject23,hjorth_only,logistic_regression
120,24,29,6,61,0.7083333333333334,0.8,0.6777777777777778,0.5783132530120482,0.8481481481481482,0.665947333638085,0.18501115053228576,0.22300183318589573,Subject24,hjorth_only,logistic_regression
120,30,61,0,29,0.49166666666666664,1.0,0.32222222222222224,0.49586776859504134,0.7233333333333334,0.40418142043746524,0.45991711984348227,0.5180535259554829,Subject25,hjorth_only,logistic_regression
120,26,3,4,87,0.9416666666666667,0.8666666666666667,0.9666666666666667,0.8813559322033898,0.9796296296296296,0.952283971518805,0.057570533410400374,0.09022579491133344,Subject26,hjorth_only,logistic_regression
120,11,6,19,84,0.7916666666666666,0.36666666666666664,0.9333333333333333,0.46808510638297873,0.7696296296296297,0.5038399852004645,0.1572126142864464,0.06713255602068612,Subject27,hjorth_only,logistic_regression
120,22,0,8,90,0.9333333333333333,0.7333333333333333,1.0,0.8461538461538461,0.9922222222222222,0.9793625610187873,0.05855616003165435,0.10155931343706306,Subject28,hjorth_only,logistic_regression
120,3,0,27,90,0.775,0.1,1.0,0.18181818181818182,0.9622222222222223,0.893061710935722,0.13791317507690148,0.15050802315766845,Subject29,hjorth_only,logistic_regression
120,30,12,0,78,0.9,1.0,0.8666666666666667,0.8333333333333334,0.9948148148148148,0.9850754032578746,0.10618629660993036,0.23933314027396413,Subject30,hjorth_only,logistic_regression
69,9,1,21,38,0.6811594202898551,0.3,0.9743589743589743,0.45,0.7341880341880342,0.717339739806267,0.2585158486640124,0.24812459605556017,Subject31,hjorth_only,logistic_regression
120,19,35,11,55,0.6166666666666667,0.6333333333333333,0.6111111111111112,0.4523809523809524,0.66,0.40075228773653127,0.2468244215702263,0.24056350024091186,Subject32,hjorth_only,logistic_regression
120,27,68,3,22,0.4083333333333333,0.9,0.24444444444444444,0.432,0.7844444444444444,0.4994980404315613,0.2941555558331144,0.3779827901289743,Subject33,hjorth_only,logistic_regression
120,23,13,7,77,0.8333333333333334,0.7666666666666667,0.8555555555555555,0.696969696969697,0.8911111111111111,0.6826605197440269,0.12186384634751563,0.14809863353594613,Subject34,hjorth_only,logistic_regression
